code	athletes	athletes_codes
ROWMSCULL2-LGRE01	"['PAPAKONSTANTINOU Antonios', 'GKAIDATZIS Petros']"	"['1977132', '1977153']"
ROWMSCULL2-LIRL01	"['Mc CARTHY Fintan', 'O DONOVAN Paul']"	"['1543322', '1572444']"
ROWMSCULL2-LITA01	"['OPPO Stefano', 'SOARES Gabriel']"	"['1547870', '1547873']"
ROWMSCULL2-LJPN01	"['MIYAURA Masayuki', 'FURUTA Naoki']"	"['1890928', '1890927']"
ROWMSCULL2-LMEX01	"['CARBALLO NIETO Miguel', 'LOPEZ GARCIA Alexis']"	"['1535267', '1535260']"
ROWMSCULL2-LNOR01	"['BENSKE Lars Martin', 'TJOEM Ask Jarl']"	"['1878534', '1878536']"
ROWMSCULL2-LSUI01	"['SCHAEUBLE Jan', 'AHUMADA Raphael']"	"['1977843', '1976421']"
ROWMSCULL2-LUKR01	"['KHMARA Igor', 'KOVALOV Stanislav']"	"['1897274', '1897270']"
ROWMSCULL2-LUZB01	"['NURMATOV Shakhzod', 'SAFAROLIYEV Sobirjon']"	"['1538622', '1538632']"
ROWMSCULL2--NED01	"['TWELLAAR Melvin', 'BROENINK Stef']"	"['1965589', '1965588']"
ROWMSCULL2--NOR01	"['HELSETH Martin', 'BORCH Kjetil']"	"['1878521', '1878535']"
ROWMSCULL2--NZL01	"['MANSON Robbie', 'PARRY Jordan']"	"['1927014', '1927017']"
ROWMSCULL2--ROU01	"['CORNEA Andrei Sebastian', 'ENACHE Marian Florian']"	"['1551186', '1551238']"
ROWMSCULL2--SRB01	"['MACKOVIC Martin', 'PIMENOV Nikolaj']"	"['1956493', '1956494']"
ROWMSCULL2--USA01	"['KOSZYK Sorin', 'DAVISON Ben']"	"['1944711', '1944602']"
ROWMSCULL4--EST01	"['KUSHTEYN Mikhail', 'RAJA Allar', 'ENDREKSON Tonu', 'POOLAK Johann']"	"['1910465', '1910468', '1910471', '1910481']"
ROWMSCULL4--GBR01	"['BARRAS Thomas', 'DIXON Callum', 'HAYWOOD Matthew', 'THOMAS Graeme']"	"['1901030', '1901057', '1901073', '1901097']"
ROWMSCULL4--GER01	"['FINGER Anton', 'APPEL Max', 'NASKE Tim-Ole', 'WOLFF Moritz']"	"['1906480', '1906477', '1906496', '1906514']"
ROWMSCULL4--ITA01	"['CHIUMENTO Luca', 'RAMBALDI Luca', 'PANIZZA Andrea', 'GENTILI Giacomo']"	"['1547863', '1560781', '1547871', '1947115']"
ROWMSCULL4--NED01	"['van LIEROP Lennart', 'FLORIJN Finn', 'WIETEN Tone', 'METSEMAKERS Koen']"	"['1965580', '1965600', '1965586', '1965584']"
ROWMSCULL4--NOR01	"['BRUN Kristoffer', 'HELVIG Jan Oscar Stabe', 'JUEL Jonas Slettemark', 'SOLBAKKEN Erik Andre']"	"['1878525', '1878524', '1878529', '1878533']"
ROWMSCULL4--POL01	"['CZAJA Dominik', 'BISKUP Mateusz', 'ZIETARSKI Miroslaw', 'BARANSKI Fabian']"	"['1928529', '1928520', '1928551', '1928530']"
ROWMSCULL4--ROU01	"['NUTESCU Leontin', 'LUNGU Andrei', 'HORODISTEANU Florin Bogdan', 'PRUNDEANU Ioan']"	"['1552049', '1552039', '1552033', '1552058']"
ROWMSCULL4--SUI01	"['CONDRAU Dominic', 'PLOCK Jonah', 'BAERLOCHER Scott', 'LANGE Maurin']"	"['1976398', '1977651', '1976436', '1977698']"
ROWWCOXED8--AUS01	"['WERRY Katrina', 'STEPHAN Lucy', 'COX Bronwyn', 'ROWE Georgie', 'SWICK Jacqui', 'PATTEN Giorgia', 'HAWE Sarah', 'BARR Paige', 'VERBUNT Hayley']"	"['1945674', '1945678', '1945647', '1945658', '1945667', '1945659', '1945690', '1945684', '1945663']"
ROWWCOXED8--CAN01	"['SEVICK Jessica', 'FILMER Caileigh', 'MESCHKULEIT Maya', 'GRUCHALLA-WESIERSKI Kasia', 'WASTENEYS Avalon', 'PAYNE Sydney', 'WALKER Kristina', 'DENT Abby', 'KIT Kristen']"	"['1967522', '4031142', '1967515', '1967511', '1967530', '1967517', '1967528', '1967508', '1967514']"
ROWWCOXED8--DEN01	"['VIGILD Nanna', 'MUNCH Caroline', 'HORNNAESS Clara', 'JOHANSEN Sara Maria', 'FOLDAGER Frida Werner', 'MORTENSEN Karen', 'VIKKELSOEE Sofie', 'LAIDLAW Nikoline', 'OESTERGAARD Sophie']"	"['1892502', '1892500', '1892471', '1892490', '1892472', '1892479', '1892474', '1892486', '1892483']"
ROWWCOXED8--GBR01	"['LONG Heidi', 'McKELLAR Rowan', 'DUNFORD Holly', 'FORD Emily', 'IRWIN Lauren', 'STEWART Eve', 'TAYLOR Harriet', 'CAMPBELL-ORDE Annie', 'FIELDMAN Henry']"	"['1901079', '1901080', '1901059', '1901065', '1901077', '1901094', '1901096', '1901044', '1901063']"
ROWWCOXED8--ITA01	"['PELACCHI Giorgia', 'de FILIPPIS Linda', 'GNATTA Alice', 'ROCEK Aisha', 'MONDELLI Elisa', 'TERRAZZI Silvia', 'CODATO Alice', 'BUMBACA Veronica', 'CAPPONI Emanuele']"	"['1560788', '1547911', '1547914', '1547897', '1547894', '1547898', '1560783', '1547877', '1560782']"
ROWWCOXED8--ROU01	"['RUSU Maria Magdalena', 'ANGHEL Roxana', 'BODNAR Ancuta', 'LEHACI Maria', 'ADAM Adriana', 'BERES Amalia', 'VRINCEANU Ioana', 'RADIS Simona', 'PETREANU Victoria Stefania']"	"['1550630', '1550289', '1550303', '1550437', '1550285', '1550294', '1550789', '1550560', '1550542']"
ROWWCOXED8--USA01	"['BRUGGEMAN Molly', 'HEDEMAN Margaret', 'WANAMAKER Maddie', 'SALMONS Regina', 'MUSNICKI Meghan', 'COLLINS Claire', 'COFFEY Olivia', 'BUCK Charlotte', 'CASTAGNA Nina']"	"['1944636', '1944690', '1944614', '1944758', '1944734', '1944650', '1944648', '1944638', '1944601']"
ROWWNOCOX2--AUS01	"['MORRISON Jess', 'McINTYRE Annabelle']"	"['1945670', '1945644']"
ROWWNOCOX2--CHI01	"['ABRAHAM Melita', 'ABRAHAM Antonia']"	"['1935343', '1935342']"
ROWWNOCOX2--CZE01	"['NOVOTNIKOVA Radka', 'FLAMIKOVA Pavlina']"	"['1891851', '1891844']"
ROWWNOCOX2--DEN01	"['RASMUSSEN Hedvig', 'ERICHSEN Fie Udby']"	"['1892489', '1892495']"
ROWWNOCOX2--ESP01	"['CID I CENTELLES Aina', 'BRIZ ZAMORANO Esther']"	"['1879798', '1879795']"
ROWWNOCOX2--GBR01	"['EDWARDS Rebecca', 'BREW Chloe']"	"['1901060', '1901040']"
ROWWNOCOX2--GRE01	"['ANASTASIADOU Evangelia', 'BOURMPOU Christina']"	"['1977114', '1977148']"
ROWWNOCOX2--IRL01	"['KEOGH Aifric', 'MURTAGH Fiona']"	"['1539998', '1539990']"
ROWWNOCOX2--LTU01	"['KRALIKAITE Kamile', 'ADOMAVICIUTE Ieva']"	"['1941858', '1941853']"
ROWWNOCOX2--NED01	"['CLEVERING Ymkje', 'MEESTER Veronique']"	"['1965559', '1965556']"
ROWWNOCOX2--NZL01	"['HAINES Kate', 'SHERMAN Alana']"	"['1927029', '1926996']"
ROWWNOCOX2--ROU01	"['VRINCEANU Ioana', 'ANGHEL Roxana']"	"['1550789', '1550289']"
ROWWNOCOX2--USA01	"['CZAJKOWSKI Azja', 'THOENNES Jess']"	"['1944657', '1944765']"
ROWWNOCOX4--AUS01	"['ALDERSEY Olympia', 'MITCHELL Jean', 'ALTON Lily', 'GOODMAN Molly']"	"['1945682', '1945669', '1945677', '1945681']"
ROWWNOCOX4--CHN01	"['ZHANG Shuxian', 'LIU Xiaoxin', 'WANG Zifeng', 'XU Xingye']"	"['1918423', '1918469', '1918422', '1918470']"
ROWWNOCOX4--DEN01	"['STEENSBERG Astrid', 'NIELSEN Frida Sanggaard', 'JOHANNESEN Marie Skytte Hauberg', 'POULSEN Julie']"	"['1892469', '1892476', '1892478', '1892470']"
ROWWNOCOX4--GBR01	"['GLOVER Helen', 'BOOTH Esme', 'REDGRAVE Sam', 'SHORTEN Rebecca']"	"['1901028', '1901037', '1901086', '1901092']"
ROWWNOCOX4--IRL01	"['MAGNER Imogen', 'LAMBE Eimear', 'LONG Natalie', 'HEGARTY Emily']"	"['1539991', '1544460', '1539992', '1543319']"
ROWWNOCOX4--NED01	"['OLDENBURG Marloes', 'DRENTH Hermijntje', 'OFFEREINS Tinka', 'BOONSTRA Benthe']"	"['1965560', '1965567', '1965566', '1965557']"
ROWWNOCOX4--NZL01	"['GOWLER Jackie', 'SPOORS Phoebe', 'WADDY Davina', 'WILLIAMS Kerri']"	"['1926998', '1927007', '1927003', '1926999']"
ROWWNOCOX4--ROU01	"['ADAM Adriana', 'LEHACI Maria', 'RUSU Maria Magdalena', 'BERES Amalia']"	"['1550285', '1550437', '1550630', '1550294']"
ROWWNOCOX4--USA01	"['KALLFELZ Emily', 'REELICK Kelsey', 'MAZZIO-MANSON Daisy', 'KNIFTON Kate']"	"['1944702', '1944750', '1944724', '1944707']"
ROWWSCULL2--AUS01	"['BATEMAN Amanda', 'HUDSON Harriet']"	"['1945641', '1945661']"
ROWWSCULL2--CHN01	"['SHEN Shuangmei', 'LU Shiyu']"	"['1918468', '1918421']"
ROWWSCULL2--CZE01	"['SANTRUCKOVA Anna', 'LUKSOVA Lenka']"	"['1891857', '1891846']"
ROWWSCULL2--FRA01	"['RAVERA SCARAMOZZINO Elodie', 'LUNATTI Emma']"	"['1558333', '1558326']"
ROWWSCULL2--GBR01	"['HODGKINS BYRNE Mathilda', 'WILDE Rebecca']"	"['1901075', '1901099']"
ROWWSCULL2--IRL01	"['HYDE Zoe', 'BERGIN Alison']"	"['1544461', '1543320']"
ROWWSCULL2--ITA01	"['GUERRA Clara', 'GOBBI Stefania']"	"['1547866', '1547865']"
ROWWSCULL2-LARG01	"['BALUZZO CHIARUZZO Sonia', 'SILVESTRO Evelyn']"	"['1892797', '1893011']"
ROWWSCULL2-LAUT01	"['ALTENHUBER Louisa', 'TIEFENTHALER Lara']"	"['1558205', '1558224']"
ROWWSCULL2-LCAN01	"['MOFFATT Jill', 'CASSON Jenny']"	"['1967516', '1967497']"
ROWWSCULL2-LCHN01	"['ZOU Jiaqi', 'QIU Xiuping']"	"['1918420', '1918419']"
ROWWSCULL2-LFRA01	"['TARANTOLA Laura', 'BOVE Claire']"	"['1558339', '1558312']"
ROWWSCULL2-LGBR01	"['CRAIG Emily', 'GRANT Imogen']"	"['1901048', '1901071']"
ROWWSCULL2-LGRE01	"['KONTOU Dimitra', 'FITSIOU Zoi']"	"['1977101', '1977159']"
ROWWSCULL2-LIRI01	"['JAVER Mahsa', 'NOROUZI TAZEH KAND Zeinab']"	"['1538386', '1538396']"
ROWWSCULL2-LIRL01	"['CASEY Aoife', 'CREMEN Margaret']"	"['1539993', '1544462']"
ROWWSCULL2-LJPN01	"['HIROUCHI Emi', 'OISHI Ayami']"	"['1890919', '1890957']"
ROWWSCULL2-LNZL01	"['COX Shannon', 'KIDDLE Jackie']"	"['1926994', '1927002']"
ROWWSCULL2-LPER01	"['PALACIOS Alessia', 'PALACIOS Valeria']"	"['1935604', '1935608']"
ROWWSCULL2-LPOL01	"['RADOSZ Martyna', 'WELNA Katarzyna']"	"['1928516', '1928517']"
ROWWSCULL2-LROU01	"['van GRONINGEN Gianina Elena', 'COZMIUC Ionela Livia']"	"['1550661', '1550384']"
ROWWSCULL2--LTU01	"['KARALIENE Donata', 'RIMKUTE Dovile']"	"['1940432', '1940482']"
ROWWSCULL2-LTUN01	"['KRIMI Khadija', 'DHAOUADI Selma']"	"['1909452', '1920707']"
ROWWSCULL2-LUSA01	"['RECKFORD Molly', 'SECHSER Michelle']"	"['1944612', '1944760']"
ROWWSCULL2--NED01	"['SCHEENAARD Lisa', 'VELDHUIS Martine']"	"['1965568', '1965570']"
ROWWSCULL2--NOR01	"['HELSETH Thea', 'KAVLIE Inger Seim']"	"['1878523', '1878532']"
ROWWSCULL2--NZL01	"['FRANCIS Brooke', 'SPOORS Lucy']"	"['1927028', '1927024']"
ROWWSCULL2--ROU01	"['BODNAR Ancuta', 'RADIS Simona']"	"['1550303', '1550560']"
ROWWSCULL2--USA01	"['VITAS Sophia', 'WAGNER Kristi']"	"['1944770', '1944771']"
ROWWSCULL4--AUS01	"['THOMPSON Ria', 'MEREDITH Rowena', 'GOURLEY Laura', 'CRONIN Caitlin']"	"['1945686', '1945688', '1945676', '1945648']"
ROWWSCULL4--CHN01	"['CHEN Yunxia', 'ZHANG Ling', 'LYU Yang', 'CUI Xiaotong']"	"['1918424', '1918427', '1918426', '1918425']"
ROWWSCULL4--GBR01	"['HENRY Lauren', 'SCOTT Hannah', 'ANDERSON Lola', 'BRAYSHAW Georgina']"	"['1901074', '1901091', '1901027', '1901039']"
ROWWSCULL4--GER01	"['VOELZ Maren', 'SCHENDEKEHL Tabea', 'MENZEL Leonie', 'GREITEN Pia']"	"['1906511', '1906506', '1906494', '1906483']"
ROWWSCULL4--NED01	"['YOUSSIFOU Laila', 'PAULIS Bente', 'de JONG Roos', 'DULLEMANS Tessa']"	"['1965563', '1965565', '1965572', '1965573']"
ROWWSCULL4--ROU01	"['MOROSAN Ioana Madalina', 'CIOTAU Emanuela Ioana', 'UNGUREANU Alexandra', 'CIRES Patricia']"	"['1550531', '1550324', '1550644', '1550329']"
ROWWSCULL4--SUI01	"['SCHWEIZER Fabienne', 'DUPRE Celia', 'WALKER Pascale', 'LOETSCHER Lisa']"	"['1977857', '1976502', '1977906', '1977724']"
ROWWSCULL4--UKR01	"['DOVHODKO Yevheniia', 'DUDCHENKO Kateryna', 'VERKHOGLIAD Daryna', 'KOZHENKOVA Anastasiia']"	"['1897261', '1897259', '1897260', '1897263']"
ROWWSCULL4--USA01	"['JOYCE Grace', 'DELLEMAN Emily', 'COHEN Teal', ""O'CONNOR Lauren""]"	"['1944700', '1944661', '1944649', '1944738']"
RU7MTEAM7---ARG01	"['PELLANDINI Joaquin', 'ELIZALDE Tomas', 'SCHULZ German', 'GRAZIANO Matteo', 'FRAGA Agustin', 'ALVAREZ Santiago', 'WADE Tobias', 'REVOL Gaston', 'OSADCZUK Matias', 'MARE Santiago', 'GONZALEZ Luciano', 'MONETA Marcos', 'ISGRO Rodrigo', 'VERA FELD Santiago']"	"['1540539', '1540603', '1540538', '1540621', '1540624', '1540537', '1540605', '1540543', '1540536', '1892419', '1540623', '1540533', '1540625', '1540534']"
RU7MTEAM7---AUS01	"['HUTCHISON Henry', 'DOWLING Ben', 'TOOLE Corey', 'ROACHE Dietrich', 'NAWAQANITAWASE Mark', 'PATERSON Henry', 'SARGEANT Hayden', 'TURNER James', 'GONZALEZ Matthew', 'MALOUF Nick', 'LONGBOTTOM Maurice', 'LAWSON Nathan']"	"['1945888', '1945860', '1945872', '1945878', '1945914', '1945889', '1945886', '1945896', '1945915', '1945922', '1945916', '1945921']"
RU7MTEAM7---FIJ01	"['NASOVA Joji', 'TALACOLO Joseva', 'MATANA Jeremaia', 'MOCENACAGI Sevuloni', 'BALEIWAIRIKI Iosefo', 'LOGANIMASI Ponipate', 'VEILAWA Terio Tamani', 'NACUQU Waisea', 'TUWAI Jerry', 'TEBA Iowane', 'RASAKU Kaminieli', 'RAVUTAUMADA Selesitino', 'JOSAIA Raisuqe', 'SAUTURAGA Filipe']"	"['1908897', '1908838', '1913346', '1977633', '1913523', '1982069', '1913286', '1913334', '1908911', '1908835', '1908841', '2484588', '1982687', '1908901']"
RU7MTEAM7---FRA01	"['PASQUET Varian', 'TIMO Andy', 'REBBADJ Rayan', 'FORNER Theo', 'PAREZ EDO MARTIN Stephen', 'RIVA Paulin', 'JOSEPH Jefferson-Lee', 'ZEGHDAR Antoine', 'GRANDIDIER NKANANG Aaron', 'BARRAQUE Jean Pascal', 'DUPONT Antoine', 'SEPHO Jordan', 'EPEE Nelson']"	"['1879682', '1879687', '1879683', '1879671', '1879681', '1879684', '1879675', '1879692', '1879672', '1879661', '1879669', '1879685', '1879670']"
RU7MTEAM7---IRL01	"['KELLY Jack', 'SMITH Andrew', 'McNULTY Harry', 'ROCHE Mark', 'WARD Zac', 'MULLINS Chay', 'CONROY Jordan', 'KEENAN Hugo', 'LENNOX Hugo', 'KENNEDY Terry', 'MULLIN Gavin', 'COMERFORD Niall', 'CRIBBIN Sean', 'MOLLEN Bryan']"	"['3538850', '3538849', '1539950', '1921046', '1969830', '1914471', '1969603', '3538856', '1563910', '1539952', '1976786', '1932124', '1936450', '1539951']"
RU7MTEAM7---JPN01	"['ISHIDA Taiga', 'ISHIDA Kippei', 'TSUOKA Shotaro', 'MATSUMOTO Junya', 'KEREVI Josua', 'FUKUSHI Moeki', 'TANINAKA Kippei', 'NOGUCHI Yoshihiro', 'UEDA Kazuma', 'MARUO Takamasa', 'OKUDAIRA Yu', 'KOGA Yoshiyuki', 'YOSHIZAWA Taichi']"	"['1908746', '1908765', '1908749', '1908741', '1908726', '1908748', '1908724', '1908739', '1908721', '1908725', '1908733', '1908738', '1908727']"
RU7MTEAM7---KEN01	"['OKEYO John', 'KOKOYO Lamec Ambetsa', 'ANGEYO George Ooro', 'ONYALA Vincent', 'TANGA Brian', 'WEKESA Kevin', 'MBOYA Antony', 'HUMWA Herman', 'ASATI Samuel', 'AMAITSA Nygel Pettersan', ""OKONG'O Patrick Odongo"", 'OJWANG Chrisant', 'ABUKUSE Denis']"	"['1880353', '1880350', '1880354', '1880368', '1880347', '1880343', '1880346', '1880363', '1880344', '1880360', '1880351', '1880365', '1880366']"
RU7MTEAM7---NZL01	"['CURRY Scott', 'RUSH Brady', 'NG SHIU Tone', 'ROKOLISOA Akuila', 'COLLIER Dylan', 'McGARVEY-BLACK Ngarohi', 'FINEANGANOFO Fehi', 'KNEWSTUBB Andrew', 'WARE Regan', 'COOK - SAVAGE Tepaea', 'LEO Moses', 'CARTER Leroy', 'WEBBER Joe']"	"['1926654', '1926624', '1926656', '1926657', '1926671', '1926670', '1926627', '1926578', '1926642', '1926680', '1926633', '1926595', '1926675']"
RU7MTEAM7---RSA01	"['GROBBELAAR Christie', 'OOSTHUIZEN Ryan', 'VISSER Impi', 'DAVIDS Zain', 'NORTJE Quewin', 'PRETORIUS Tiaan', 'LEYDS Tristan', 'DAVIDS Selvyn', 'WILLIAMS Shaun', 'SPECMAN Rosko', 'SOYIZWAPI Siviwe', 'van WYK Shilton', 'BROWN Ronald']"	"['1574106', '1574107', '1574108', '1574109', '1888936', '1574111', '1574134', '1888932', '1574114', '1574121', '1574118', '1574119', '1574112']"
RU7MTEAM7---SAM01	"['AFA SUA Vaovasa', 'MOTUGA Alamanda', 'LIMA Bj Telefoni', 'OPETAI Motu', 'MAIAVA Tom', 'NIULEVAEA Taunuu', 'LALOMILO Lalomilo', 'LEITUFIA Neueli', 'FALANIKO Faafoi', 'SCANLAN Paul', 'ONOSAI Steve', 'APELU MALIKO Vaa']"	"['1968691', '3500057', '1968068', '1968285', '1968635', '1968402', '3500048', '1968300', '1968205', '1968336', '1968381', '1968686']"
RU7MTEAM7---URU01	"['Mc CUBBIN James', 'GRILLE Valentin', 'ETCHEVERRY Tomas', 'TAFERNABERRY Juan Manuel', 'BASSO Bautista', 'ARDAO Diego', 'VINALS Mateo', 'ARCOS PEREZ Felipe', 'LIJTENSTEIN Guillermo', 'AMAYA Baltazar', 'FACCIOLO Ignacio', 'GONZALEZ Juan', 'BRAZIONIS Koba', 'SOTO Dante']"	"['1917802', '1917788', '1917786', '1917799', '1917308', '1917280', '1917794', '1917116', '1917792', '1917269', '1917716', '1917771', '1917797', '1917122']"
RU7MTEAM7---USA01	"['CUMMINGS Aaron', 'UNUFE Maka', 'BIZER Orrin', 'LEUTA Matai', 'TUPUOLA Marcus', 'WILLIAMS Kevon', ""FUALA'AU Naima"", 'ESDALE Malacchi', 'TOMASIN Steve', 'HUGHES Madison', 'BAKER Perry', 'LACAMP Lucas', 'VI Pita', 'CHANNEL Adam']"	"['1950534', '1950552', '1950528', '3555841', '1950551', '1950556', '1950538', '1950536', '1950549', '1950539', '1950527', '1950541', '1950553', '1950532']"
RU7WTEAM7---AUS01	"['TERITA Bienne', 'SMALE Sharni', 'NATHAN Faith', 'du TOIT Dominique', 'LEVI Teagan', 'PAKI Sariah', 'CASLICK Charlotte', 'SHAVE Kaitlin', 'HINDS Tia', 'NASSER Isabella', 'CLARK Bridget', 'LEVI Maddison', 'HENWOOD Kahli']"	"['1945865', '1945928', '1945881', '1945879', '1945932', '1945927', '1945870', '1945905', '1945935', '1945891', '1945867', '1945912', '1945904']"
RU7WTEAM7---BRA01	"['NICOLAU Mariana', 'CAMPOS Luiza', 'SILVA Milena', 'GOMES dos SANTOS Gisele', 'COSTA Thalia', 'da SILVA COSTA Thalita', 'SOARES Yasmim', 'FIORAVANTI Marina', 'LIMA Gabriela', 'KOCHHANN Raquel', 'SILVA Bianca', 'SOUZA Marcelle', 'dos SANTOS SILVA Leila', 'LOPES Isadora']"	"['1954963', '1954961', '1954966', '1954956', '1954969', '1954970', '1954971', '1954964', '1954954', '1954968', '1954948', '1954962', '1954959', '1954957']"
RU7WTEAM7---CAN01	"['CROSSLEY Caroline', 'APPS Olivia', 'CORRIGAN Alysha', 'HOGAN-ROCHESTER Asia', 'DANIELS Chloe', 'WILLIAMS Charity', 'SYMONDS Florence', 'NORSTEN Carissa', 'SCURFIELD Krissy', 'BERMUDEZ Fancy', 'LOGAN Piper', 'WARDLEY Keyara', 'PERRY Taylor', 'VALENZUELA Shalaya']"	"['1960779', '1960762', '1960778', '1960797', '1960781', '1960837', '1960826', '1960812', '1960822', '1960765', '1960803', '1960834', '1960817', '1960832']"
RU7WTEAM7---CHN01	"['RUAN Hongting', 'YAN Meiling', 'SU Qi', 'ZHOU Yan', 'GU Yaoyao', 'WANG Wanyu', 'CHEN Keyi', 'SUN Yue', 'YANG Feifei', 'DOU Xinrong', 'LIU Xiaoqian', 'HU Yu', 'MA Xiaodan', 'WANG Xiao']"	"['1927186', '1927205', '1927187', '1927198', '1927181', '1927211', '1927179', '1927188', '1927195', '1927180', '1927184', '1927182', '1927185', '1927191']"
RU7WTEAM7---FIJ01	"['DAVEUA Raijieli', 'DITAVUTU Verenaisi', 'BULEKI Adi Vani', 'CAVURU Lavena', 'ULUNISAU Reapi', 'NAIMASI Ana Maria', 'DELAIWAU Ilisapeci', 'LOMANI Kolora', 'NAKOCI Alowesi', 'LIKUCEVA Laisana', 'ROKOTUISIGA Maria', 'DONU Sesenieli', 'WILSON Talei']"	"['1562091', '1562106', '1562097', '1945843', '1560283', '1560290', '1562093', '1978642', '1945836', '1560288', '1560315', '1562085', '1918356']"
RU7WTEAM7---FRA01	"['OKEMBA Seraphine', 'CIOFANI Anne-Cecile', 'PELLE Chloe', 'NOEL Lou', 'GRISEZ Joanna', 'YENGO Yolaine', 'JACQUET Chloe', 'GRASSINEAU Camille', 'NEISEN Carla', 'DROUIN Caroline', 'JASON Ian', 'DEZOU Lili']"	"['1916084', '1916063', '1916008', '1916082', '1916071', '1916087', '1916075', '1916070', '1916080', '1916067', '1916077', '1916006']"
RU7WTEAM7---GBR01	"['THOMSON Lisa', 'SHEKELLS Jade', 'BOATMAN Ellie', 'CROMPTON Grace', 'COWELL Heather', 'TORLEY Lauren', 'UREN Emma', 'KILDUNNE Ellie', 'NORMAN-BELL Isla', 'JONES Meg', 'JOYCE Jasmine', 'WILSON HARDY Amy', 'BURTON Abi', 'POWELL Kayleigh']"	"['1948891', '1948884', '1948785', '1948799', '1948798', '1948892', '1948894', '1948838', '1948860', '1948832', '1948834', '1948901', '1948791', '1948870']"
RU7WTEAM7---IRL01	"['ORCHARD Ashleigh', 'ELMES KINLAN Vicki', 'FLOOD Stacey', 'FITZPATRICK Alanna', 'MURPHY CROWE Amee Leigh', 'BAKER Kathy', 'PARSONS Beibhinn', 'BURNS Megan', 'MULHALL ROCK Lucy', 'HIGGINS Eve', 'KING Erin', 'LANE Emily', 'LARN Amy', 'BOLES Claire']"	"['1543299', '2475381', '1977161', '1544449', '1940960', '1977180', '1555097', '1936658', '1555096', '1555095', '1957962', '1936489', '1543297', '1544436']"
RU7WTEAM7---JPN01	"['NAKAMURA Chiharu', 'KAJIKI Marin', 'MATSUDA Rinka', 'MIZUTANI Sakura', 'SAEGUSA Chiaki', 'OHTANI Mei', 'HIRANO Yume', 'NISHI Arisa', 'UTSUMI Hanako', 'TANAKA Emii', 'HARA Wakaba', 'TSUTSUMI Honoka', 'TSUJISAKI Yukino']"	"['1908767', '1908759', '1908715', '1908735', '1908737', '1908760', '1908753', '1908717', '1908720', '1908743', '1908754', '1908757', '1908716']"
RU7WTEAM7---NZL01	"['POURI-LANE Risi', 'MILLER Jorja', 'WAAKA Stacey', 'NUKU Manaia', 'HIRINI Sarah', 'BLYDE Michaela', 'KING Tyla', 'PAUL Mahina', 'FELIX-HOTHAM Jazmin', 'SETEFANO Theresa', 'WOODMAN-WICKLIFFE Portia', 'SAILI Alena']"	"['1926596', '1926667', '1926592', '1926629', '1926632', '1926635', '1926644', '1926676', '1926634', '1926647', '1926646', '1926593']"
RU7WTEAM7---RSA01	"['JANSE van RENSBURG Libbie', 'DOLF Byrhandre', 'MALINGA Ayanda', 'MPUPHA Zintle', 'de BRUIN Marlize', 'GRAIN Veroeshka', 'TSHIREMBA Maria', 'SOLONTSI Sizophila', 'ROOS Nadine', 'SIMMERS Mathrin', 'BALOYI Kemisetso', 'LATEGAN Liske', 'LAMPRECHT Shiniqwa']"	"['1934613', '1934614', '1934595', '1934596', '1934592', '1934615', '1934607', '1934616', '1934598', '1934599', '1934601', '1934594', '1934603']"
RU7WTEAM7---USA01	"['RAMSEY Ariana', 'MAHER Ilona', 'CANETT Kayla', 'SULLIVAN Sammy', 'KELTER Alev', 'DOYLE Lauren', 'TAPPER Naya', 'SEDRICK Alex', 'OLSEN Alena', 'ROVETTI Steph', 'LEVY Sarah', 'KIRSHE Kristi']"	"['1950500', '1950498', '1950485', '1950504', '1950494', '1950487', '1950505', '1950502', '1950499', '1950501', '1950496', '1950495']"
SALM49ER----AUS01	"['COLLEY Jim', 'CONNOR Shaun']"	"['1945986', '1945999']"
SALM49ER----AUT01	"['BILDSTEIN Benjamin', 'HUSSL David']"	"['1566436', '1566444']"
SALM49ER----BEL01	"['LEFEBVRE Yannick', 'HEUNINCK Jan']"	"['1903268', '1903267']"
SALM49ER----BRA01	"['SOFFIATTI GRAEL Marco', 'SIMOES Gabriel']"	"['1961066', '1961057']"
SALM49ER----CAN01	"['JONES Will', 'BARNES Justin']"	"['1960328', '1960335']"
SALM49ER----CHN01	"['WEN Zaiding', 'LIU Tian']"	"['1961651', '1961652']"
SALM49ER----CRO01	"['FANTELA Sime', 'FANTELA Mihovil']"	"['1902581', '1902582']"
SALM49ER----DEN01	"['NYBORG Daniel', 'BUHL Nikolaj Hoffmann']"	"['1895105', '1895096']"
SALM49ER----ESP01	"['BOTIN le CHEVER Diego', 'TRITTEL PAUL Florian']"	"['1959270', '1959294']"
SALM49ER----FRA01	"['FISCHER Erwan', 'PEQUIN Clement']"	"['1559566', '1559568']"
SALM49ER----GBR01	"['PETERS James', 'STERRITT Fynn']"	"['1899743', '1899746']"
SALM49ER----GER01	"['MEGGENDORFER Jakob', 'SPRANGER Andreas']"	"['1891964', '1891965']"
SALM49ER----HKG01	"['SAKAI Akira Luke', 'AYLSWORTH Russell Williams']"	"['1961705', '1961704']"
SALM49ER----IRL01	"['DICKSON Robert', 'WADDILOVE Sean']"	"['1543306', '1543307']"
SALM49ER----NED01	"['LAMBRIEX Bart', 'van de WERKEN Floris']"	"['1970502', '1970507']"
